"tx size","size fee (IOV)","price increase compared to anti spam"
0,0.0000,1.0000
256,0.0000,1.0000
512,0.0000,1.0000
768,0.0000,1.0000
1024,0.0000,1.0000
1280,0.0001,1.0003
1536,0.0005,1.0010
1792,0.0012,1.0024
2048,0.0021,1.0042
2304,0.0033,1.0066
2560,0.0047,1.0094
2816,0.0064,1.0128
3072,0.0084,1.0168
3328,0.0106,1.0212
3584,0.0131,1.0262
3840,0.0159,1.0317
4096,0.0189,1.0377
4352,0.0222,1.0443
4608,0.0257,1.0514
4864,0.0295,1.0590
5120,0.0336,1.0671
5376,0.0379,1.0758
5632,0.0425,1.0849
5888,0.0473,1.0946
6144,0.0524,1.1049
6400,0.0578,1.1156
6656,0.0634,1.1269
6912,0.0693,1.1387
7168,0.0755,1.1510
7424,0.0819,1.1638
7680,0.0886,1.1772
7936,0.0956,1.1911
8192,0.1028,1.2055
8448,0.1102,1.2205
8704,0.1180,1.2359
8960,0.1260,1.2519
9216,0.1342,1.2684
9472,0.1427,1.2855
9728,0.1515,1.3030
9984,0.1606,1.3211
10240,0.1699,1.3397
10496,0.1794,1.3589
10752,0.1893,1.3785
11008,0.1994,1.3987
11264,0.2097,1.4194
11520,0.2203,1.4407
11776,0.2312,1.4624
12032,0.2424,1.4847
12288,0.2538,1.5075
12544,0.2654,1.5308
12800,0.2773,1.5547
13056,0.2895,1.5791
13312,0.3020,1.6040
13568,0.3147,1.6294
13824,0.3277,1.6554
14080,0.3409,1.6818
14336,0.3544,1.7088
14592,0.3682,1.7364
14848,0.3822,1.7644
15104,0.3965,1.7930
15360,0.4110,1.8221
15616,0.4259,1.8517
15872,0.4409,1.8819
16128,0.4563,1.9125
16384,0.4719,1.9437
16640,0.4877,1.9754
16896,0.5038,2.0077
17152,0.5202,2.0404
17408,0.5369,2.0737
17664,0.5538,2.1076
17920,0.5709,2.1419
18176,0.5884,2.1768
18432,0.6061,2.2122
18688,0.6240,2.2481
18944,0.6423,2.2845
19200,0.6607,2.3215
19456,0.6795,2.3590
19712,0.6985,2.3970
19968,0.7178,2.4355
20224,0.7373,2.4746
20480,0.7571,2.5141
20736,0.7771,2.5543
20992,0.7974,2.5949
21248,0.8180,2.6360
21504,0.8389,2.6777
21760,0.8600,2.7199
22016,0.8813,2.7627
22272,0.9030,2.8059
22528,0.9248,2.8497
22784,0.9470,2.8940
23040,0.9694,2.9388
23296,0.9921,2.9842
23552,1.0150,3.0300
23808,1.0382,3.0764
24064,1.0617,3.1234
24320,1.0854,3.1708
24576,1.1094,3.2188
24832,1.1336,3.2673
25088,1.1582,3.3163
25344,1.1829,3.3658
25600,1.2080,3.4159
25856,1.2333,3.4665
26112,1.2588,3.5176
26368,1.2846,3.5693
26624,1.3107,3.6214
26880,1.3371,3.6741
27136,1.3637,3.7273
27392,1.3905,3.7811
27648,1.4177,3.8353
27904,1.4451,3.8901
28160,1.4727,3.9454
28416,1.5006,4.0013
28672,1.5288,4.0576
28928,1.5573,4.1145
29184,1.5860,4.1719
29440,1.6149,4.2299
29696,1.6442,4.2883
29952,1.6737,4.3473
30208,1.7034,4.4068
30464,1.7334,4.4669
30720,1.7637,4.5274
30976,1.7942,4.5885
31232,1.8250,4.6501
31488,1.8561,4.7122
31744,1.8874,4.7749
32000,1.9190,4.8381
32256,1.9509,4.9018
32512,1.9830,4.9660
32768,2.0154,5.0307
33024,2.0480,5.0960
33280,2.0809,5.1618
33536,2.1141,5.2281
33792,2.1475,5.2950
34048,2.1812,5.3623
34304,2.2151,5.4302
34560,2.2493,5.4987
34816,2.2838,5.5676
35072,2.3185,5.6371
35328,2.3535,5.7071
35584,2.3888,5.7776
35840,2.4243,5.8486
36096,2.4601,5.9202
36352,2.4961,5.9923
36608,2.5324,6.0649
36864,2.5690,6.1380
37120,2.6058,6.2117
37376,2.6429,6.2859
37632,2.6803,6.3606
37888,2.7179,6.4358
38144,2.7558,6.5116
38400,2.7939,6.5879
38656,2.8323,6.6647
38912,2.8710,6.7420
39168,2.9099,6.8199
39424,2.9491,6.8982
39680,2.9886,6.9771
39936,3.0283,7.0566
40192,3.0683,7.1365
40448,3.1085,7.2170
40704,3.1490,7.2980
40960,3.1898,7.3795
41216,3.2308,7.4616
41472,3.2721,7.5442
41728,3.3136,7.6273
41984,3.3554,7.7109
42240,3.3975,7.7950
42496,3.4399,7.8797
42752,3.4825,7.9649
43008,3.5253,8.0506
43264,3.5684,8.1369
43520,3.6118,8.2236
43776,3.6555,8.3109
44032,3.6994,8.3988
44288,3.7435,8.4871
44544,3.7880,8.5760
44800,3.8327,8.6654
45056,3.8776,8.7553
45312,3.9229,8.8457
45568,3.9683,8.9367
45824,4.0141,9.0282
46080,4.0601,9.1202
46336,4.1064,9.2127
46592,4.1529,9.3058
46848,4.1997,9.3994
47104,4.2467,9.4935
47360,4.2940,9.5881
47616,4.3416,9.6833
47872,4.3895,9.7789
48128,4.4376,9.8751
48384,4.4859,9.9719
48640,4.5346,10.0691
48896,4.5835,10.1669
49152,4.6326,10.2652
49408,4.6820,10.3640
49664,4.7317,10.4634
49920,4.7816,10.5633
50176,4.8318,10.6637
50432,4.8823,10.7646
50688,4.9330,10.8661
50944,4.9840,10.9680
51200,5.0353,11.0705
51456,5.0868,11.1735
51712,5.1385,11.2771
51968,5.1906,11.3812
52224,5.2429,11.4858
52480,5.2954,11.5909
52736,5.3483,11.6965
52992,5.4013,11.8027
53248,5.4547,11.9094
53504,5.5083,12.0166
53760,5.5622,12.1243
54016,5.6163,12.2326
54272,5.6707,12.3414
54528,5.7254,12.4507
54784,5.7803,12.5606
55040,5.8355,12.6709
55296,5.8909,12.7818
55552,5.9466,12.8932
55808,6.0026,13.0051
56064,6.0588,13.1176
56320,6.1153,13.2306
56576,6.1720,13.3441
56832,6.2291,13.4581
57088,6.2863,13.5727
57344,6.3439,13.6878
57600,6.4017,13.8034
57856,6.4598,13.9195
58112,6.5181,14.0362
58368,6.5767,14.1533
58624,6.6355,14.2710
58880,6.6946,14.3893
59136,6.7540,14.5080
59392,6.8136,14.6273
59648,6.8735,14.7471
59904,6.9337,14.8674
60160,6.9941,14.9883
60416,7.0548,15.1096
60672,7.1158,15.2315
60928,7.1770,15.3540
61184,7.2385,15.4769
61440,7.3002,15.6004
61696,7.3622,15.7244
61952,7.4244,15.8489
62208,7.4870,15.9739
62464,7.5497,16.0995
62720,7.6128,16.2256
62976,7.6761,16.3522
63232,7.7397,16.4793
63488,7.8035,16.6070
63744,7.8676,16.7352
64000,7.9320,16.8639
64256,7.9966,16.9931
64512,8.0615,17.1229
64768,8.1266,17.2532
65024,8.1920,17.3840
65280,8.2577,17.5153
65536,8.3236,17.6472
65792,8.3898,17.7796
66048,8.4562,17.9125
66304,8.5230,18.0459
66560,8.5899,18.1799
66816,8.6572,18.3143
67072,8.7247,18.4494
67328,8.7924,18.5849
67584,8.8605,18.7209
67840,8.9288,18.8575
68096,8.9973,18.9946
68352,9.0661,19.1322
68608,9.1352,19.2704
68864,9.2045,19.4091
69120,9.2741,19.5483
69376,9.3440,19.6880
69632,9.4141,19.8282
69888,9.4845,19.9690
70144,9.5551,20.1103
70400,9.6261,20.2521
70656,9.6972,20.3945
70912,9.7687,20.5373
71168,9.8404,20.6807
71424,9.9123,20.8246
71680,9.9845,20.9691
71936,10.0570,21.1140
72192,10.1298,21.2595
72448,10.2028,21.4056
72704,10.2760,21.5521
72960,10.3496,21.6992
73216,10.4234,21.8467
73472,10.4974,21.9949
73728,10.5717,22.1435
73984,10.6463,22.2926
74240,10.7212,22.4423
74496,10.7963,22.5925
74752,10.8716,22.7433
75008,10.9473,22.8945
75264,11.0232,23.0463
75520,11.0993,23.1986
75776,11.1757,23.3514
76032,11.2524,23.5048
76288,11.3293,23.6587
76544,11.4065,23.8131
76800,11.4840,23.9680
77056,11.5617,24.1235
77312,11.6397,24.2794
77568,11.7180,24.4359
77824,11.7965,24.5930
78080,11.8753,24.7505
78336,11.9543,24.9086
78592,12.0336,25.0672
78848,12.1131,25.2263
79104,12.1930,25.3859
79360,12.2731,25.5461
79616,12.3534,25.7068
79872,12.4340,25.8680
80128,12.5149,26.0298
80384,12.5960,26.1920
80640,12.6774,26.3548
80896,12.7591,26.5181
81152,12.8410,26.6820
81408,12.9232,26.8463
81664,13.0056,27.0112
81920,13.0883,27.1767
82176,13.1713,27.3426
82432,13.2545,27.5090
82688,13.3380,27.6760
82944,13.4218,27.8435
83200,13.5058,28.0116
83456,13.5901,28.1801
83712,13.6746,28.3492
83968,13.7594,28.5188
84224,13.8445,28.6890
84480,13.9298,28.8596
84736,14.0154,29.0308
84992,14.1013,29.2025
85248,14.1874,29.3747
85504,14.2737,29.5475
85760,14.3604,29.7208
86016,14.4473,29.8946
86272,14.5344,30.0689
86528,14.6219,30.2437
86784,14.7096,30.4191
87040,14.7975,30.5950
87296,14.8857,30.7714
87552,14.9742,30.9484
87808,15.0629,31.1259
88064,15.1519,31.3038
88320,15.2412,31.4824
88576,15.3307,31.6614
88832,15.4205,31.8410
89088,15.5105,32.0211
89344,15.6008,32.2017
89600,15.6914,32.3828
89856,15.7822,32.5645
90112,15.8733,32.7467
90368,15.9647,32.9294
90624,16.0563,33.1126
90880,16.1482,33.2964
91136,16.2403,33.4807
91392,16.3328,33.6655
91648,16.4254,33.8508
91904,16.5183,34.0367
92160,16.6115,34.2231
92416,16.7050,34.4100
92672,16.7987,34.5974
92928,16.8927,34.7854
93184,16.9869,34.9739
93440,17.0814,35.1629
93696,17.1762,35.3524
93952,17.2712,35.5425
94208,17.3665,35.7330
94464,17.4621,35.9241
94720,17.5579,36.1158
94976,17.6540,36.3079
95232,17.7503,36.5006
95488,17.8469,36.6938
95744,17.9438,36.8875
96000,18.0409,37.0818
96256,18.1383,37.2765
96512,18.2359,37.4718
96768,18.3338,37.6677
97024,18.4320,37.8640
97280,18.5304,38.0609
97536,18.6291,38.2583
97792,18.7281,38.4562
98048,18.8273,38.6546
98304,18.9268,38.8536
98560,19.0265,39.0531
98816,19.1266,39.2531
99072,19.2268,39.4536
99328,19.3274,39.6547
99584,19.4281,39.8563
99840,19.5292,40.0584
100096,19.6305,40.2610
100352,19.7321,40.4642
100608,19.8339,40.6679
100864,19.9361,40.8721
101120,20.0384,41.0768
101376,20.1410,41.2821
101632,20.2439,41.4879
101888,20.3471,41.6942
102144,20.4505,41.9010
102400,20.5542,42.1084
102656,20.6581,42.3163
102912,20.7623,42.5247
103168,20.8668,42.7336
103424,20.9715,42.9430
103680,21.0765,43.1530
103936,21.1818,43.3635
104192,21.2873,43.5745
104448,21.3930,43.7861
104704,21.4991,43.9982
104960,21.6054,44.2108
105216,21.7119,44.4239
105472,21.8188,44.6375
105728,21.9259,44.8517
105984,22.0332,45.0664
106240,22.1408,45.2816
106496,22.2487,45.4974
106752,22.3568,45.7136
107008,22.4652,45.9304
107264,22.5739,46.1478
107520,22.6828,46.3656
107776,22.7920,46.5840
108032,22.9014,46.8028
108288,23.0111,47.0223
108544,23.1211,47.2422
108800,23.2313,47.4627
109056,23.3418,47.6837
109312,23.4526,47.9052
109568,23.5636,48.1272
109824,23.6749,48.3498
110080,23.7864,48.5728
110336,23.8982,48.7965
110592,24.0103,49.0206
110848,24.1226,49.2452
111104,24.2352,49.4704
111360,24.3481,49.6961
111616,24.4612,49.9224
111872,24.5746,50.1491
112128,24.6882,50.3764
112384,24.8021,50.6042
112640,24.9163,50.8325
112896,25.0307,51.0614
113152,25.1454,51.2908
113408,25.2603,51.5207
113664,25.3755,51.7511
113920,25.4910,51.9820
114176,25.6068,52.2135
114432,25.7227,52.4455
114688,25.8390,52.6780
114944,25.9555,52.9111
115200,26.0723,53.1446
115456,26.1894,53.3787
115712,26.3067,53.6133
115968,26.4242,53.8485
116224,26.5421,54.0842
116480,26.6602,54.3204
116736,26.7785,54.5571
116992,26.8972,54.7943
117248,27.0160,55.0321
117504,27.1352,55.2704
117760,27.2546,55.5092
118016,27.3743,55.7485
118272,27.4942,55.9884
118528,27.6144,56.2288
118784,27.7348,56.4697
119040,27.8556,56.7111
119296,27.9765,56.9531
119552,28.0978,57.1955
119808,28.2193,57.4386
120064,28.3410,57.6821
120320,28.4631,57.9261
120576,28.5854,58.1707
120832,28.7079,58.4158
121088,28.8307,58.6615
121344,28.9538,58.9076
121600,29.0771,59.1543
121856,29.2007,59.4015
122112,29.3246,59.6492
122368,29.4487,59.8975
122624,29.5731,60.1462
122880,29.6978,60.3955
123136,29.8227,60.6454
123392,29.9479,60.8957
123648,30.0733,61.1466
123904,30.1990,61.3980
124160,30.3249,61.6499
124416,30.4512,61.9023
124672,30.5777,62.1553
124928,30.7044,62.4088
125184,30.8314,62.6628
125440,30.9587,62.9174
125696,31.0862,63.1724
125952,31.2140,63.4280
126208,31.3421,63.6841
126464,31.4704,63.9408
126720,31.5990,64.1979
126976,31.7278,64.4556
127232,31.8569,64.7138
127488,31.9863,64.9726
127744,32.1159,65.2318
128000,32.2458,65.4916
128256,32.3760,65.7519
128512,32.5064,66.0128
128768,32.6371,66.2741
129024,32.7680,66.5360
129280,32.8992,66.7984
129536,33.0307,67.0613
129792,33.1624,67.3248
130048,33.2944,67.5888
130304,33.4266,67.8533
130560,33.5592,68.1183
130816,33.6919,68.3839
131072,33.8250,68.6499
131328,33.9583,68.9165
131584,34.0918,69.1837
131840,34.2257,69.4513
132096,34.3597,69.7195
132352,34.4941,69.9882
132608,34.6287,70.2574
132864,34.7636,70.5271
133120,34.8987,70.7974
133376,35.0341,71.0682
133632,35.1698,71.3395
133888,35.3057,71.6114
134144,35.4419,71.8837
134400,35.5783,72.1566
134656,35.7150,72.4300
134912,35.8520,72.7040
135168,35.9892,72.9785
135424,36.1267,73.2534
135680,36.2645,73.5290
135936,36.4025,73.8050
136192,36.5408,74.0816
136448,36.6793,74.3586
136704,36.8181,74.6362
136960,36.9572,74.9144
137216,37.0965,75.1930
137472,37.2361,75.4722
137728,37.3760,75.7519
137984,37.5161,76.0322
138240,37.6565,76.3129
138496,37.7971,76.5942
138752,37.9380,76.8760
139008,38.0792,77.1583
139264,38.2206,77.4412
139520,38.3623,77.7246
139776,38.5042,78.0085
140032,38.6464,78.2929
140288,38.7889,78.5778
140544,38.9317,78.8633
140800,39.0747,79.1493
141056,39.2179,79.4358
141312,39.3614,79.7229
141568,39.5052,80.0105
141824,39.6493,80.2986
142080,39.7936,80.5872
142336,39.9382,80.8763
142592,40.0830,81.1660
142848,40.2281,81.4562
143104,40.3735,81.7469
143360,40.5191,82.0381
143616,40.6650,82.3299
143872,40.8111,82.6222
144128,40.9575,82.9150
144384,41.1042,83.2084
144640,41.2511,83.5022
144896,41.3983,83.7966
145152,41.5458,84.0915
145408,41.6935,84.3870
145664,41.8415,84.6829
145920,41.9897,84.9794
146176,42.1382,85.2764
146432,42.2870,85.5739
146688,42.4360,85.8720
146944,42.5853,86.1706
147200,42.7348,86.4697
147456,42.8847,86.7693
147712,43.0347,87.0695
147968,43.1851,87.3702
148224,43.3357,87.6714
148480,43.4865,87.9731
148736,43.6377,88.2753
148992,43.7891,88.5781
149248,43.9407,88.8814
149504,44.0926,89.1852
149760,44.2448,89.4896
150016,44.3972,89.7945
150272,44.5499,90.0999
150528,44.7029,90.4058
150784,44.8561,90.7122
151040,45.0096,91.0192
151296,45.1633,91.3267
